,title,price
0,Shop on eBay,$20.00
1,Reproductores de MP3 y iPods y iPod Touch 4ta generación 8 GB negro/blanco,"21,76 "
2,Apple iPod Touch 3nd Generation Silver Black (32GB) Modelo: A1318,"5,50 "
3,✅Nuevo Apple iPod Touch 5ta 6a 7a generación 16/32/64/128GB Todos los Colores Caja Sellada✅,"62,06  a 346,23 "
4,LOTE - iPod Video 5ta Generación Clásico 30GB A1136 Negro o Blanco con Batería Nueva,"3,26  a 55,52 "
5, Apple iPod Touch 4ta Generación 8GB 16GB 32GB 64GB Negro Blanco - BATERÍA NUEVA,"18,49  a 35,91 "
6,ipod touch 6 gen Red 16 Gb A1574 unlocked see description,"1,00 "
7,✅Nuevo Sellado Apple ipod touch 7ma Generación 128GB/256GB Todos los colores✅,"211,45  a 277,14 "
8,iPod Classic 5ta 6ta 7ma generación 30 GB 60 GB 80 GB 120 GB 160 GB todos los colores excelente,"53,79  a 183,08 "
9,Apple iPod Classic 4ta Generación 20 GB Blanco (A1059/M9282LL/A) ¡con Wolfson DAC!,"32,61 "
10,NUEVO Apple iPod Classic 7ma Generación Negro 512 GB SSD Flash Personalizado - Sellado ¥,"114,73 "
11,iPod Classic 5th 6th 7th Generation 30GB 60GB 80GB 120GB 160GB All Colors,"73,98  a 212,25 "
12,Anuncio nuevoApple iPod Video 5ta Generación 30 GB NEGRO,"37,56 "
13,iPod Touch 8 GB,"11,56 "
14,"Apple Ipod Mejorado MP3 Reproductor A1136 5th Generación - Negro, Blanco","44,31 "
15, NUEVO Apple iPod Classic 7ma Generación (Púrpura) SSD Flash Personalizado - Sellado 🙂,"200,66  a 476,90 "
16,APPLE iPOD CLASSIC 5.5 GEN BLANCO/BALCK 30GB... CHIP LOBOSON... BATERÍA NUEVA,"58,78 "
17,"Apple iPod Nano 1a, 2a, 3a, 4a, 5a, 6a, 7a, 8a Generación/4GB, 8 GB, 16 GB","48,99  a 168,76 "
18,Anuncio nuevoApple iPod Nano 3ra Generación A1236 Plateado y Verde Lote 8 GB Batería Original,"23,39 "
19,Anuncio nuevoApple iPod Nano 1a Generación A1137 Negro 1 GB Estuche de Cuero Rojo y Paquete de Plomos,"5,77 "
20,"Apple iPod Nano 7a,8a Generación 16 GB (90 Días de Garantía) Reemplace Nuevo Lote de Batería","30,47  a 135,00 "
21,✅Nuevo Apple iPod Touch 5ta 6a 7a generación 16/32/64/128GB Todos los Colores Caja Sellada✅,"2,17  a 335,34 "
22,LOTE - Apple iPod Touch 6ta Generación - Probado - 16GB 32GB 64GB 128GB - Todos los Colores,"6,52  a 167,66 "
23,Apple iPod Nano 4ta 5ta Generación (8GB 16GB) Batería Nueva Reemplazada Todos los Colores - Lote,"50,07  a 113,22 "
24,Reproductor de MP3 Apple iPod mini segunda generación,"33,74  a 39,18 "
25,NUEVO Apple iPod Video Classic 5ta Generación 30/60/80GB Negro Blanco Sellado-Mejor Regalo,"97,99  a 128,47 "
26,NUEVO Apple iPod Classic 7ma Generación 160GB 256GB 512GB 1TB 2TB Último Modelo Lote,"197,11  a 464,44 "
27,"Apple iPod Nano 5ta Generación 8, 16 GB - 60 Días de Garantía ¡Batería Nueva!","60,96  a 108,87 "
28,Anuncio nuevoReproductor Apple iPod Nano MA978ZP/A 3a Generación 4 GB - Estuche Plateado y Metal - Sin Paquete,"8,08 "
29,Anuncio nuevoApple iPod Touch 5ta 6ta 7ma Generación 16/32/64/128/256GB - Lote de todos los colores,"83,83  a 357,12 "
30,NUEVO Apple iPod Video Classic 5ta Generación U2 Edición Especial 30GB/60GB/80GB GARANTÍA,"108,87  a 140,44 "
31,"Anuncio nuevoApple iPod Touch (modelo A1367, 8 GB)","10,89 "
32,✅ Nuevo Sellado Apple ipod touch 7ma generación 128GB/256GB Todos los colores Juego MP3 lote,"81,71  a 337,19 "
33,Anuncio nuevoiPod Classic negro 5ta generación 30 GB - probado,"41,96 "
34,Nuevo Apple iPod Touch 5ta 6ta 7ma Generación 16/32/64/128/256GB Caja Sellada Lote,"88,18  a 382,15 "
35,Anuncio nuevoApple iPod Nano 1a Generación Negro - 2GB + Nuevo Auriculares + Bolsa de Transporte + Canción,"20,81 "
36,Anuncio nuevoiPod Mini 2005 6 GB púrpura - A1051 - probado y funciona,"34,66 "
37,Apple iPod nano 1da Generación 2GB - Todos los Colores Nueva Batería Envío Gratuito,"16,32 "
38,Anuncio nuevoApple iPod Nano 7 Generazione Raro,"79,00 "
39,iPod Classic 5ta 6ta 7ma generación 30 GB 60 GB 80 GB 120 GB 160 GB 256 GB todos los colores,"94,23  a 267,46 "
40,"Apple A1367 iPod Touch 8 GB, 16 GB, 32 GB, 64 GB 4ta Generación Blanco/Negro","40,28  a 107,79 "
41,Philips Radio Reloj para iPhone/iPod  AJ300D/12,"19,95 "
42,Ipod nano 4th generazione 8gb black nero A1285 apple funzionante con cover ,"24,99 "
43,Anuncio nuevoREPUESTOS/RESTAURAR - Apple A1238 iPod 80GB Clásico 6ta Generación REPARACIÓN,"27,22 "
44,Anuncio nuevoNuevo Sistema ISO Apple iPod Touch 7ma Generación - Gris espacial 256 GB MP4 Reproductor de Juegos,"286,14 "
45,Anuncio nuevoApple A1204 MB225LL/A 1 GB 2da Generación iPod Shuffle Verde Como Nuevo con Base de Carga,"26,67 "
46,Anuncio nuevoiPod Touch 7ta Generación 32 GB caja abierta,"152,42 "
47,Apple iPod Touch 7. Generación 7G (128 GB) Azul Blue Collectors RARO NUEVO,"399,00 "
48,Apple iPod touch (7. Generación) 7G 32GB Silver Silver A2178 usado #18,"169,77 "
49,Apple iPod Touch 7. Generación 7G (256 GB) PRODUCTO ROJO Rojo Coleccionistas RARO NUEVO,"499,00 "
50,Apple iPod Touch 7. Generación 7G (256 GB) Azul Blue Collectors RARO NUEVO,"499,00 "
51,Apple iPod Touch 7. Generación 7G (256GB) Oro Bronce Coleccionistas RARO NUEVO,"469,00 "
52,Apple iPod Touch 6. Generación 6G (16GB) Plata Silver Collectors RARO usado,"139,00 "
53,Apple iPod Shuffle - 4. Generation Silber Silver 2 GB NEU NEW Sealed,"80,00 "
54,Apple iPod nano 5th 5. Generación negro 8 GB negro NUEVO sellado,"299,00 "
55,Apple iPod Touch 7. Generación 7G (32GB) Azul Blue Collectors RARO NUEVO,"369,00 "
56,Apple iPod touch md720nf/a 32 GB plateado,"79,00 "
57,Apple iPod Nano (4. Generación),"45,00 "
58,ipod classic 160gb,"155,00 "
59,Apple iPod classic foto 3ra generación (blanca) M9244LL A1040 - buen estado,"47,91  a 103,43 "
60,Anuncio nuevoNuevo Apple iPod Classic 5ta/6ta/7ma generación 60/80/120/160/256 GB - Caja Sellada,"118,45  a 270,86 "
